t,step_sign,goal_deg_left_knee,pos_deg_left_knee,cur_A_left_knee,vel_rads_left_knee,torque_en_left_knee,hw_err_left_knee
0.0073,1,-97.900,-92.812,0.0000,0.0000,1,1
0.0653,1,-97.900,-97.383,0.2233,-0.9592,1,1
0.1214,1,-97.900,-97.559,-0.0673,-0.4317,1,1
0.1773,1,-97.900,-97.559,-0.0619,0.0000,1,1
0.2333,1,-97.900,-97.559,-0.0646,0.0000,1,1
0.2894,1,-97.900,-97.559,-0.0699,0.0000,1,1
0.3453,1,-97.900,-97.559,-0.0726,0.0000,1,1
0.4013,1,-97.900,-97.559,-0.0673,0.0000,1,1
0.4573,1,-97.900,-97.559,-0.0538,0.0000,1,1
0.5133,1,-97.900,-97.559,-0.0646,0.0000,1,1
0.5693,1,-97.900,-97.559,-0.0673,0.0000,1,1
0.6253,1,-97.900,-97.559,-0.0673,0.0000,1,1
0.6813,1,-97.900,-97.559,-0.0673,0.0000,1,1
0.7373,1,-97.900,-97.559,-0.0699,0.0000,1,1
0.7937,1,-97.900,-97.559,-0.0699,0.0000,1,1
0.8513,1,-97.900,-97.559,-0.0673,0.0000,1,1
0.9074,1,-97.900,-97.559,-0.0646,0.0000,1,1
0.9633,1,-97.900,-97.559,-0.0646,0.0000,1,1
1.0193,1,-97.900,-97.559,-0.0753,0.0000,1,1
1.0753,1,-97.900,-97.559,-0.0646,0.0000,1,1
1.1313,1,-97.900,-97.559,-0.0646,0.0000,1,1
1.1873,1,-97.900,-97.559,-0.0646,0.0000,1,1
1.2433,1,-97.900,-97.559,-0.0646,0.0000,1,1
1.2993,1,-97.900,-97.559,-0.0646,0.0000,1,1
1.3553,1,-97.900,-97.559,-0.0673,0.0000,1,1
1.4117,1,-97.900,-97.559,-0.0673,0.0000,1,1
1.4693,1,-97.900,-97.559,-0.0673,0.0000,1,1
1.5273,-1,-137.900,-97.559,-0.0592,0.0000,1,1
1.5833,-1,-137.900,-109.688,-0.1560,-2.1583,1,1
1.6392,-1,-137.900,-119.092,-0.2286,-3.7410,1,1
1.6973,-1,-137.900,-119.180,-0.1426,-0.8633,1,1
1.7532,-1,-137.900,-119.268,-0.1453,-0.0240,1,1
1.8092,-1,-137.900,-119.268,-0.1426,0.0000,1,1
1.8652,-1,-137.900,-119.268,-0.1506,0.0000,1,1
1.9213,-1,-137.900,-119.268,-0.1533,0.0000,1,1
