t,step,pos_left_hip_yaw,pos_left_hip_roll,pos_left_hip_pitch,pos_left_knee,pos_left_ankle,pos_neck_pitch,pos_head_pitch,pos_head_yaw,pos_head_roll,pos_right_hip_yaw,pos_right_hip_roll,pos_right_hip_pitch,pos_right_knee,pos_right_ankle,vel_left_hip_yaw,vel_left_hip_roll,vel_left_hip_pitch,vel_left_knee,vel_left_ankle,vel_neck_pitch,vel_head_pitch,vel_head_yaw,vel_head_roll,vel_right_hip_yaw,vel_right_hip_roll,vel_right_hip_pitch,vel_right_knee,vel_right_ankle,action_left_hip_yaw,action_left_hip_roll,action_left_hip_pitch,action_left_knee,action_left_ankle,action_neck_pitch,action_head_pitch,action_head_yaw,action_head_roll,action_right_hip_yaw,action_right_hip_roll,action_right_hip_pitch,action_right_knee,action_right_ankle,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,contact_l,contact_r,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_grav_x,proj_grav_y,proj_grav_z,phase_cos,phase_sin
0.0403,0,-0.0030679617,0.032213595,0.89737874,-1.6060779,0.7439807,0.5236,0.5236,0.0,0.0,-0.0030679617,0.01994175,0.93266034,1.6398255,-0.7317088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.114517435,0.15222654,0.1049867,-0.13574925,-0.5185021,-0.23376685,-0.29456,-0.0825703,-0.055469774,0.058897134,0.5352312,0.06458721,0.5896908,0.25225043,-0.014551744,0.035922654,0.90569866,-1.582875,0.6925498,0.5236,0.5236,0.0,0.0,0.0021897133,0.04312312,0.9379587,1.6589692,-0.71357495,1.0,1.0,0.00545415391248228,0.025089107997418484,0.02399827721492203,-0.38,0.47,9.62,0.03942331,-0.04876041,-0.9980322,1.0,0.0
0.0585,1,-0.0046019424,0.032213595,0.89737874,-1.6076119,0.7439807,0.5236,0.5236,0.0,0.0,-0.0030679617,0.02147573,0.93266034,1.6398255,-0.7317088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.104330495,0.027213015,0.32783926,-0.3638084,-0.546469,-0.20866875,-0.3277749,-0.10431434,-0.19787793,0.20573409,0.42508063,-0.20548439,0.5004614,0.34840572,-0.020404097,0.032554895,0.93428314,-1.6138258,0.658643,0.5236,0.5236,0.0,0.0,0.020407237,0.06422193,0.9148268,1.6854277,-0.6888244,1.0,1.0,0.006544984694978735,0.032724923474893676,-0.007635815477475192,-0.04,0.78,9.71,0.0041062026,-0.08007095,-0.9967807,0.9730449,0.23061587
0.0804,2,-0.015339808,0.0398835,0.90658265,-1.6091459,0.720971,0.5236,0.5236,0.0,0.0,0.0030679617,0.04141748,0.93572825,1.6613011,-0.720971,-0.07194247,0.04796165,0.04796165,-0.023980824,-0.11990412,0.0,0.0,0.0,0.0,0.023980824,0.11990412,0.023980824,0.11990412,0.023980824,-0.09916431,0.08106682,0.5136108,-0.45993593,-0.6373496,-0.24432303,-0.3466983,-0.12200549,-0.24515174,0.19532757,0.28295612,-0.3245798,0.39931276,0.37301373,-0.023398891,0.035919618,0.970011,-1.6420091,0.6292108,0.5236,0.5236,0.0,0.0,0.0302971,0.06266878,0.8890381,1.6911879,-0.67151326,1.0,1.0,0.0272707695624114,0.0,-0.008726646259971648,-0.6,-0.42,8.2,0.07288062,0.051016428,-0.996035,0.89363265,0.4487992
0.0981,3,-0.01994175,0.04141748,0.9265244,-1.6198837,0.69029135,0.5236,0.5236,0.0,0.0,0.013805827,0.05982525,0.93266034,1.6827769,-0.70563114,-0.16786577,0.0959233,0.23980825,-0.0959233,-0.45563567,0.0,0.0,0.0,0.0,0.14388494,0.3836932,0.023980824,0.3836932,0.21582742,0.035392936,0.14143385,0.5251203,-0.22863747,-0.76574075,0.061037973,-0.36820388,-0.07801517,-0.40573776,0.15986504,0.1175393,-0.23209712,0.30230677,0.21325245,-0.011740041,0.043975156,0.99259865,-1.6357893,0.59871244,0.5236,0.5236,0.0,0.0,0.032684766,0.045195196,0.88281316,1.6849434,-0.6771027,1.0,1.0,0.2399827721492203,-0.002181661564992912,-0.03599741582238305,1.53,0.23,7.59,-0.19751902,-0.029692402,-0.9798493,0.76604444,0.64278764
0.1180,4,-0.026077673,0.046019424,0.957204,-1.6352235,0.6565438,0.5236,0.5236,0.0,0.0,0.023009712,0.065961175,0.92345643,1.6996508,-0.6979613,-0.26378906,0.14388494,0.57553977,-0.26378906,-0.93525213,0.0,0.0,0.0,0.0,0.26378906,0.5995206,-0.023980824,0.69544387,0.407674,0.01306317,0.20281762,0.31326512,0.18694024,-0.8793563,-0.038164154,-0.2627631,-0.08704896,-0.5016223,0.11672069,-0.09356087,-0.2304965,0.2505729,0.2193961,-0.0069777076,0.054946855,0.9849657,-1.5904995,0.56905186,0.5236,0.5236,0.0,0.0,0.02980293,0.013601034,0.87923825,1.6760234,-0.679842,1.0,1.0,0.3850632662212489,0.23561944901923448,-0.35452000431134817,2.22,1.42,8.8,-0.24166895,-0.15458104,-0.95796704,0.5971586,0.8021232
0.1380,5,-0.016873788,0.053689327,0.9802137,-1.6413594,0.61972827,0.5236,0.5236,0.0,0.0,0.024543693,0.05982525,0.9111846,1.7042526,-0.6979613,-0.23980825,0.16786577,0.93525213,-0.407674,-1.366907,0.0,0.0,0.0,0.0,0.35971236,0.57553977,-0.1918466,0.815348,0.45563567,-0.098182485,0.1940464,0.13816206,0.4150474,-0.76944375,-0.44893396,-0.1846596,-0.12512349,-0.497063,0.0758291,-0.20409274,-0.2885433,0.23600294,0.30175188,-0.015244873,0.060652755,0.9628756,-1.5405151,0.56224674,0.5236,0.5236,0.0,0.0,0.023984669,-0.016408654,0.87128866,1.6692142,-0.67325,1.0,1.0,0.12544553998709243,1.1464631524037752,-0.5825036378531074,-0.45,3.76,10.74,0.0395151,-0.33017063,-0.9430938,0.39607978,0.9182161
0.1605,6,-0.009203885,0.065961175,0.98634964,-1.6260196,0.58598065,0.5236,0.5236,0.0,0.0,0.023009712,0.044485442,0.8989127,1.7011847,-0.6964273,0.0,0.26378906,1.0551562,-0.33573154,-1.5827343,0.0,0.0,0.0,0.0,0.26378906,0.1918466,-0.3836932,0.6235014,0.3117507,-0.1451992,0.054437347,0.05258828,0.6285826,-0.71856284,-0.3691967,-0.1039178,-0.059962474,-0.44403702,0.033440713,-0.21880311,-0.2158887,0.18450642,0.37794286,-0.024906844,0.05011539,0.94106424,-1.4891708,0.56325173,0.5236,0.5236,0.0,0.0,0.016254874,-0.035885505,0.8737843,1.6599792,-0.6616757,1.0,1.0,-0.37415495839628443,1.076649982324002,-0.8628471489546966,-0.23,3.83,11.86,0.01845136,-0.3072552,-0.95144826,0.17364818,0.9848077
0.1804,7,-0.016873788,0.0720971,0.9771458,-1.6076119,0.5660389,0.5236,0.5236,0.0,0.0,0.024543693,0.023009712,0.8866409,1.6981168,-0.6933593,0.0959233,0.35971236,0.7913672,0.0,-1.5587536,0.0,0.0,0.0,0.0,0.14388494,-0.23980825,-0.551559,0.28776988,0.14388494,-0.06630148,-0.2220552,0.23175468,0.8407549,-0.71502763,-0.09749648,0.019097902,0.17821838,-0.5304405,0.021409798,-0.16061193,-0.12849759,0.056742564,0.510353,-0.022814255,0.016143715,0.945894,-1.437147,0.56420827,0.5236,0.5236,0.0,0.0,0.010413905,-0.0417525,0.8840208,1.6416618,-0.6414901,1.0,1.0,-0.5705044992456465,0.7341291166201148,-0.7755806863549801,0.38,-0.96,11.24,-0.033666097,0.08505119,-0.99580765,-0.05814483,0.9983082
0.2003,8,-0.023009712,0.070563115,0.96180594,-1.6030099,0.55683506,0.5236,0.5236,0.0,0.0,0.01840777,0.0030679617,0.878971,1.6889129,-0.6872234,0.04796165,0.33573154,0.23980825,0.35971236,-1.3429261,0.0,0.0,0.0,0.0,0.023980824,-0.6474822,-0.57553977,0.0,0.11990412,0.1543766,-0.26428542,0.5103008,0.78077155,-0.44507748,-0.017511643,0.1132103,0.31814662,-0.47446665,-0.13380624,-0.13717857,-0.27668262,-0.23519745,0.5099938,0.00050910586,-0.008462312,0.9766465,-1.411931,0.5917772,0.5236,0.5236,0.0,0.0,-0.008612282,-0.04292936,0.8753442,1.6014774,-0.6294147,1.0,1.0,-0.5912302841130791,0.9621127501618741,-0.3763366199612773,-0.13,-3.6,10.94,0.0112868445,0.31255877,-0.94983137,-0.28680325,0.9579895
0.2765,9,0.0030679617,0.03834952,0.97100985,-1.592272,0.56297094,0.5236,0.5236,0.0,0.0,-0.009203885,-0.0061359233,0.878971,1.6382915,-0.6304661,0.28776988,-0.35971236,0.04796165,0.0,0.0,0.0,0.0,0.0,0.0,-0.3836932,-0.23980825,-0.023980824,-0.7194247,0.69544387,0.3191855,-0.030119203,0.5089189,0.3872816,-0.012418658,-0.15576112,-0.092541404,0.2234087,-0.16406903,-0.24267441,0.037402265,-0.26721817,-0.35416067,0.5805369,0.030984014,0.00019069202,0.9949598,-1.4361506,0.6515845,0.5236,0.5236,0.0,0.0,-0.03091481,-0.026177388,0.87108475,1.5654703,-0.6151151,1.0,1.0,-0.3141592653589793,1.0188359508516898,-0.07526732399225546,-0.35,-0.13,8.19,0.042690706,0.015856547,-0.9989625,-0.5,0.8660254
