t,step,pos_left_hip_yaw,pos_left_hip_roll,pos_left_hip_pitch,pos_left_knee,pos_left_ankle,pos_neck_pitch,pos_head_pitch,pos_head_yaw,pos_head_roll,pos_right_hip_yaw,pos_right_hip_roll,pos_right_hip_pitch,pos_right_knee,pos_right_ankle,vel_left_hip_yaw,vel_left_hip_roll,vel_left_hip_pitch,vel_left_knee,vel_left_ankle,vel_neck_pitch,vel_head_pitch,vel_head_yaw,vel_head_roll,vel_right_hip_yaw,vel_right_hip_roll,vel_right_hip_pitch,vel_right_knee,vel_right_ankle,action_left_hip_yaw,action_left_hip_roll,action_left_hip_pitch,action_left_knee,action_left_ankle,action_neck_pitch,action_head_pitch,action_head_yaw,action_head_roll,action_right_hip_yaw,action_right_hip_roll,action_right_hip_pitch,action_right_knee,action_right_ankle,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,cur_left_hip_yaw,cur_left_hip_roll,cur_left_hip_pitch,cur_left_knee,cur_left_ankle,cur_right_hip_yaw,cur_right_hip_roll,cur_right_hip_pitch,cur_right_knee,cur_right_ankle,pwm_left_hip_yaw,pwm_left_hip_roll,pwm_left_hip_pitch,pwm_left_knee,pwm_left_ankle,pwm_right_hip_yaw,pwm_right_hip_roll,pwm_right_hip_pitch,pwm_right_knee,pwm_right_ankle,tqen_left_hip_yaw,tqen_left_hip_roll,tqen_left_hip_pitch,tqen_left_knee,tqen_left_ankle,tqen_right_hip_yaw,tqen_right_hip_roll,tqen_right_hip_pitch,tqen_right_knee,tqen_right_ankle,contact_l,contact_r,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_grav_x,proj_grav_y,proj_grav_z,phase_cos,phase_sin
0.0354,0,-0.0030679617,0.03681554,0.89737874,-1.5800002,0.7455147,0.5236,0.5236,0.0,0.0,-0.0015339808,-0.0046019424,0.9295924,1.6382915,-0.73017484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10974532,0.14758727,0.13011478,-0.13699576,-0.5296895,-0.21798743,-0.3365922,-0.084823504,-0.061764695,0.07808082,0.557522,0.10116426,0.59780425,0.2704049,-0.030536331,0.057596818,0.9277287,-1.603549,0.648,0.5236,0.5236,0.0,0.0,0.015820205,0.086,0.9567911,1.6964,-0.6711988,0.00538,0.19099000000000002,0.01345,0.11298,-0.00269,0.01076,-0.06994,0.19368000000000002,0.41695,0.11298,0.005649717514124294,0.06892655367231638,0.012429378531073447,0.04406779661016949,0.0011299435028248588,0.011299435028248588,-0.01807909604519774,-0.07570621468926554,0.1672316384180791,0.03389830508474576,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.008726646259971648,-0.06654067773228381,0.004363323129985824,0.13,0.35,9.71,-0.013267695,-0.038782496,-0.9991596,1.0,0.0
0.0631,1,-0.009203885,0.046019424,0.9004467,-1.5815341,0.7424467,0.5236,0.5236,0.0,0.0,0.0,0.007669904,0.9341943,1.6474954,-0.72864085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023980824,0.0,0.0,0.0,-0.094125316,0.019653216,0.38685554,-0.39015153,-0.5092745,-0.19907913,-0.35010538,-0.12728512,-0.18055551,0.17292361,0.4305262,-0.20239022,0.45585895,0.29643372,-0.02663133,0.025613304,0.9919139,-1.6668379,0.6170814,0.5236,0.5236,0.0,0.0,0.039530903,0.09723155,0.88090247,1.7139647,-0.66469157,-0.07801000000000001,0.12373999999999999,-0.16409,-0.00269,-0.65098,-0.16140000000000002,0.35239,0.00269,-0.22596,-0.04304,-0.17175141242937852,-0.12090395480225989,0.020338983050847456,-1.0,-1.0,-0.376271186440678,0.5943502824858757,1.0,-0.8350282485875706,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.00545415391248228,-0.011999138607461015,-0.0032724923474893677,0.15,0.62,9.7,-0.014288087,-0.038781952,-0.99914557,0.9730449,0.23061587
0.0800,2,-0.023009712,0.05522331,0.9188545,-1.593806,0.71483505,0.5236,0.5236,0.0,0.0,0.012271847,0.047553405,0.94493216,1.676641,-0.7117671,-0.14388494,0.11990412,0.11990412,-0.07194247,-0.11990412,0.0,0.0,0.0,0.0,0.07194247,0.33573154,0.07194247,0.23980825,0.07194247,-0.084818944,0.050572187,0.53745806,-0.4559448,-0.58834386,-0.15128966,-0.3886094,-0.08925092,-0.28401458,0.18513298,0.27742594,-0.23577267,0.39290687,0.29030228,-0.024304736,0.033343047,1.0295645,-1.6832863,0.59731406,0.5236,0.5236,0.0,0.0,0.042583246,0.058956485,0.87255687,1.6982267,-0.6662244,-0.26093,0.1345,-0.01076,-0.10222,-0.4035,-0.01883,-0.10222,0.0269,0.16678,-0.25286,-0.631638418079096,-0.2033898305084746,-1.0,-1.0,-0.6734463276836158,-0.9830508474576272,1.0,0.2937853107344633,-1.0,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.002181661564992912,-0.02945243112740431,0.007635815477475192,0.19,0.4,9.43,-0.015308435,-0.038781367,-0.9991305,0.89363265,0.4487992
0.1024,3,-0.024543693,0.053689327,0.95567006,-1.6183498,0.66574764,0.5236,0.5236,0.0,0.0,0.029145636,0.084368944,0.94493216,1.7073206,-0.6856894,-0.26378906,0.23980825,0.45563567,-0.3117507,-0.69544387,0.0,0.0,0.0,0.0,0.28776988,0.93525213,0.23980825,0.69544387,0.407674,-0.0073776096,0.10038361,0.5147885,-0.22365123,-0.76106656,-0.12919973,-0.32403412,-0.05928764,-0.44756582,0.17458633,0.120662265,-0.23470658,0.44427016,0.31975314,-0.0049444027,0.045795903,1.0238972,-1.6252129,0.5541334,0.5236,0.5236,0.0,0.0,0.039946582,0.019765567,0.87282336,1.7110676,-0.6588617,-0.00269,-0.09684000000000001,-0.08608,-0.00269,-0.16409,0.05111,-0.7801,-0.059179999999999996,-0.06725,-0.06456,-0.0192090395480226,-0.28135593220338984,-0.5389830508474577,-0.9050847457627119,-0.7491525423728813,-0.29717514124293787,-0.015819209039548022,-1.0,-0.2,-0.20677966101694914,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.31088677301149,0.02945243112740431,-0.10362892433716332,2.2,-0.75,4.86,-0.015307191,-0.040819176,-0.99904925,0.76604444,0.64278764
0.1200,4,-0.027611654,0.053689327,0.99555355,-1.6474954,0.6289321,0.5236,0.5236,0.0,0.0,0.035281558,0.08283496,0.9295924,1.7134565,-0.6841554,-0.33573154,0.21582742,0.959233,-0.6714631,-1.223022,0.0,0.0,0.0,0.0,0.45563567,1.2470028,0.14388494,0.9832138,0.5995206,-0.04692158,0.21134575,0.4293545,0.106359825,-0.9491281,-0.2093619,-0.24738775,-0.08504973,-0.56456786,0.09282027,-0.010599114,-0.2710195,0.3242784,0.30748123,-0.014830396,0.07353644,1.0025387,-1.5427101,0.507118,0.5236,0.5236,0.0,0.0,0.019505069,-0.0130497785,0.86374515,1.6810696,-0.66192967,-0.81776,-0.5111,0.70478,0.09684000000000001,-0.06456,0.40081,-0.9146,-0.269,-0.11028999999999999,-0.18561,-1.0,-1.0,0.423728813559322,1.0,-1.0,0.2327683615819209,-1.0,-0.22033898305084745,-0.9751412429378531,-0.9491525423728814,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.46687557490848314,0.22580197197676635,-0.2203478180642841,1.58,1.78,6.1,-0.013261758,-0.04896649,-0.9987124,0.5971586,0.8021232
0.1422,5,-0.016873788,0.06442719,1.0216312,-1.6689711,0.5921166,0.5236,0.5236,0.0,0.0,0.033747576,0.075165056,0.9249904,1.7257284,-0.6856894,-0.14388494,0.16786577,1.4388494,-1.103118,-1.7266194,0.0,0.0,0.0,0.0,0.45563567,1.0071946,-0.07194247,0.9832138,0.6235014,-0.10489257,0.10475691,0.26716784,0.39541954,-0.91032684,-0.32114613,-0.116895385,-0.060841706,-0.5983681,-0.042195495,-0.1356835,-0.27809155,0.21166888,0.25942278,-0.029323142,0.046889227,0.96199197,-1.4704452,0.5168183,0.5236,0.5236,0.0,0.0,-0.014248874,-0.044320878,0.8619771,1.6529173,-0.6739443,0.01883,-0.00538,0.68864,0.061869999999999994,-0.00269,0.0538,-0.7666499999999999,-0.00538,0.39543,-0.03766,0.21581920903954802,-1.0,-0.18192090395480226,1.0,-1.0,0.22033898305084745,-0.9751412429378531,-1.0,0.030508474576271188,-0.4101694915254237,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.002181661564992912,1.2119129993535627,-0.4428772976935611,-0.35,8.32,13.49,-0.0,-0.06021772,-0.9981853,0.39607978,0.9182161
0.1623,6,-0.01994175,0.08130098,1.0216312,-1.675107,0.558369,0.5236,0.5236,0.0,0.0,0.029145636,0.050621364,0.92192245,1.7211264,-0.6841554,0.0,0.21582742,1.4388494,-1.103118,-1.7985618,0.0,0.0,0.0,0.0,0.26378906,0.3117507,-0.28776988,0.6714631,0.33573154,-0.11185607,-0.027618729,0.20967047,0.659162,-0.8604191,-0.23872253,-0.02068411,0.05892,-0.5528781,-0.04767596,-0.1704407,-0.25735715,0.1514415,0.3809359,-0.031064019,0.013795318,0.94761765,-1.4045095,0.52929527,0.5236,0.5236,0.0,0.0,-0.01561899,-0.053010177,0.86716074,1.6378604,-0.643566,0.04304,0.02152,0.00269,0.04304,0.40081,0.13181,-0.7478199999999999,-0.01076,0.040350000000000004,0.0,-0.1367231638418079,1.0,1.0,1.0,-0.6711864406779661,1.0,-0.6689265536723163,-1.0,1.0,0.6836158192090396,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.56941366846315,1.141008998491293,-0.8083056098298739,0.12,-0.44,13.88,0.02449791,-0.053078804,-0.9982898,0.17364818,0.9848077
0.1802,7,-0.029145636,0.08743691,1.0093594,-1.679709,0.5506991,0.5236,0.5236,0.0,0.0,0.010737865,0.01994175,0.9111846,1.7119225,-0.6872234,0.023980824,0.407674,0.9832138,-0.91127133,-1.630696,0.0,0.0,0.0,0.0,-0.023980824,-0.407674,-0.33573154,0.33573154,0.0959233,-0.057391375,-0.1277946,0.21905023,0.8046138,-0.6883475,-0.19635445,0.007095024,0.17106904,-0.47432292,-0.11293066,-0.13902017,-0.23414946,0.035297193,0.47186857,-0.017447844,-0.011248648,0.94996256,-1.3681467,0.57231313,0.5236,0.5236,0.0,0.0,-0.031932667,-0.045155045,0.87296265,1.6088244,-0.62083286,-0.19906000000000001,0.9657100000000001,0.30396999999999996,0.06994,0.0,0.20713,-0.75051,-0.00269,0.32280000000000003,-0.02152,0.0384180790960452,1.0,1.0,1.0,1.0,0.5480225988700564,-0.9220338983050848,-0.18870056497175142,1.0,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.8846637646046258,1.05265170510908,-0.5519603759432067,1.81,-1.91,10.65,0.045930855,-0.03776537,-0.9982306,-0.05814483,0.9983082
0.2021,8,-0.032213595,0.079767,0.9878836,-1.6858449,0.5553011,0.5236,0.5236,0.0,0.0,-0.0061359233,0.0015339808,0.9019807,1.6889129,-0.6841554,-0.11990412,0.3836932,0.14388494,-0.5035973,-1.1750604,0.0,0.0,0.0,0.0,-0.3836932,-0.959233,-0.33573154,-0.11990412,0.0,0.20835608,-0.15868971,0.30141437,0.7847352,-0.24657506,-0.2181075,0.03394963,0.27871686,-0.29768217,-0.33369195,-0.058093376,-0.3535515,-0.14012498,0.46004248,0.04898902,-0.018972427,0.97055364,-1.3731163,0.66871315,0.5236,0.5236,0.0,0.0,-0.08712299,-0.024923343,0.8431121,1.5649688,-0.62378937,0.01883,0.00538,0.27707,0.0538,0.0,-0.03766,-0.6456000000000001,0.0,0.5406899999999999,-0.00269,0.10621468926553672,1.0,0.3152542372881356,1.0,1.0,0.12316384180790961,-0.7864406779661017,-0.5954802259887005,0.5615819209039548,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.9337511498169663,1.507528141410102,0.2181661564992912,1.76,-0.05,10.4,0.08363006,-0.012238546,-0.9964217,-0.28680325,0.9579895
0.2201,9,-0.024543693,0.065961175,0.9756118,-1.6904469,0.5660389,0.5236,0.5236,0.0,0.0,-0.024543693,-0.0030679617,0.89124286,1.6659031,-0.67341757,-0.14388494,0.1918466,-0.35971236,-0.33573154,-0.6235014,0.0,0.0,0.0,0.0,-0.5995206,-1.0551562,-0.43165484,-0.5275781,0.07194247,0.41019273,0.0017673001,0.5138801,0.36128038,0.04848609,-0.23798607,-0.03244155,0.3505498,-0.104164496,-0.44625527,0.078559026,-0.47664276,-0.3835586,0.4631369,0.09944818,0.021141825,1.0236701,-1.4695163,0.7565215,0.5236,0.5236,0.0,0.0,-0.11526382,0.0092397565,0.8123393,1.5041103,-0.62301576,-1.01951,0.7801,-0.13988,0.05649,0.0,0.19637000000000002,-0.00807,0.0,0.11567,-0.06994,-1.0,0.9536723163841808,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-0.31412429378531076,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.8257589023498172,1.5195272800175632,0.4265148359561143,0.82,2.05,9.07,0.098997176,-0.005102947,-0.9950747,-0.5,0.8660254
